Code;Species_code;Species name;Family;RI;Plant type
cas.gre;cwsgr; Casearia grewiifolia Vent. ; Salicaceae  ;0.007;Tree_shrub
cel.pan;celpa; Celastrus paniculatus Willd.  ; Celastraceae ;0.014;Tree_shrub
com.qua;cogqu; Combretum quadrangulare Kurz  ; Combretaceae ;0.047;Tree_shrub
cra.for;KXLFO; Cratoxylum formosum (Jacq.) Benth. & Hook.f. ex Dyer ; Hypericaceae ;0.014;Tree_shrub
cyc.bar;cklba; Cyclea barbata Miers  ; Menispermaceae  ;0.095;Tree_shrub
dal.ova;dagov; Dalbergia ovata Benth. ; Fabaceae ;0.082;Tree_shrub
dal.rac;dagri; Dalbergia rimosa Roxb. ; Fabaceae ;0.027;Tree_shrub
des.gan;DEDGA; Desmodium gangeticum (L.) DC. ; Fabaceae ;0.02;Tree_shrub
des.vel;DEDVE; Desmodium velutinum (Willd.) DC.  ; Fabaceae ;0.007;Tree_shrub
dim.lon;DMCLO; Dimocarpus longan Lour.; Sapindaceae ;0.034;Tree_shrub
dio.gla;DIUNU; Dioscorea glabra Roxb. ; Dioscoreaceae;0.007;Tree_shrub
dio.mal;DOSMA; Diospyros malabarica (Desr.) Kostel.  ; Ebenaceae;0.162;Tree_shrub
emb.tsj;eblts; Embelia tsjeriam-cottam (Roem. & Schult.) A.DC.  ; Primulaceae ;0.007;Tree_shrub
euo.coc;euocc; Euonymus cochinchinensis Pierre; Celastraceae ;0.081;Tree_shrub
fic.hir;FIUHT; Ficus hirta Vahl  ; Moraceae ;0.027;Tree_shrub
fic.his;FIUHS; Ficus hispida L.f. ; Moraceae ;0.047;Tree_shrub
fla.jan;FLCJA; Flacourtia jangomas (Lour.) Raeusch.  ; Salicaceae  ;0.007;Tree_shrub
fle.soo;fleso; Flemingia sootepensis Craib; Leguminosae ;0.041;Tree_shrub
gar.soo;gadso; Gardenia sootepensis Hutch.; Rubiaceae;0.007;Tree_shrub
gar.pin;GUGPI; Garuga pinnata Roxb.  ; Burseraceae ;0.007;Tree_shrub
glu.obo;glfob; Gluta obovata Craib; Anacardiaceae;0.014;Tree_shrub
gre.abu;grwab; Grewia abutilifolia Vent. ex Juss. ; Malvaceae;0.014;Tree_shrub
har.arb;HPWAR; Harpullia arborea (Blanco) Radlk. ; Sapindaceae ;0.007;Tree_shrub
har.per;hrspe; Harrisonia perforata (Blanco) Merr.; Rutaceae ;0.007;Tree_shrub
lag.tom;laeto; Lagerstroemia tomentosa C. Presl  ; Lythraceae  ;0.014;Tree_shrub
lep.rub;lqzru; Lepisanthes rubiginosa (Roxb.) Leenh. ; Sapindaceae ;0.291;Tree_shrub
lit.mon;LISMO; Litsea monopetala (Roxb.) Pers.; Lauraceae;0.047;Tree_shrub
lit.sem;lisse; Litsea semecarpifolia (Wall. ex Nees) Hook.f. ; Lauraceae;0.007;Tree_shrub
mac.den;MCRDE; Macaranga denticulata (Blume) MÙll.Arg.; Euphorbiaceae;0.027;Tree_shrub
mae.ram;mbeto; Maesa ramentacea (Roxb.) A. DC.; Primulaceae ;0.007;Tree_shrub
mal.bar;MLLBA; Mallotus barbatus MÙll.Arg ; Euphorbiaceae;0.047;Tree_shrub
man.uti;MANES; Manihot esculenta Crantz  ; Euphorbiaceae;0.007;Tree_shrub
mar.sti;mkmst; Markhamia stipulata (Wall.) Seem ; Bignoniaceae ;0.007;Tree_shrub
mik.mic;MIKMI; Mikania micrantha Kunth; Compositae  ;0.028;Tree_shrub
mil.pac;mijpc; Millettia pachycarpa Benth.; Leguminosae ;0.149;Tree_shrub
mim.dip;MIMIN; Mimosa diplotricha Sauvalle; Fabaceae ;0.272;Tree_shrub
mit.rot;mtgro; Mitragyna rotundifolia (Roxb.) Kuntze ; Rubiaceae;0.014;Tree_shrub
mor.cha;MOMCH; Momordica charantia L. ; Cucurbitaceae;0.041;Tree_shrub
muc.sp;MUCPR; Mucuna pruriens (L.) DC.  ; Leguminosae ;0.02;Tree_shrub
mur.koe;MUYKO; Murraya koenigii (L.) Spreng. ; Rutaceae ;0.007;Tree_shrub
pho.lan;ocoln; Ocotea lancifolia (Schott) Mez ; Lauraceae;0.007;Tree_shrub
oro.ind;rxlin; Oroxylum indicum ( L. ) Kurz  ; Bignoniaceae ;0.007;Tree_shrub
pae.pil;paepi; Paederia pilifera Hook.f. ; Rubiaceae;0.258;Tree_shrub
pro.ser;prdse; Protium serratum (Wall. ex Colebr.) Engl. ; Burseraceae ;0.007;Tree_shrub
psi.goy;PSIGU; Psidium guajava L. ; Myrtaceae;0.007;Tree_shrub
pte.mac;pufmc; Pterospermum macrocarpum Hochr. (unresolved) ; Malvaceae;0.02;Tree_shrub
bre.qua;srpqu; Sauropus quadrangularis (Willd.) MÙll.Arg. ; Phyllanthaceae  ;0.007;Tree_shrub
sen.gar;sjngr; Senna garrettiana ( Craib ) H.S.Irwin & Barneby  ; Fabaceae ;0.007;Tree_shrub
sen.sia;CASSM; Senna siamea (Lmk.) Irwin & Barneby  ; Fabaceae ;0.007;Tree_shrub
smi.ova;smiov; Smilax ovalifolia Roxb. ex D.Don  ; Smilacaceae ;0.007;Tree_shrub
sol.ver;SOLVE; Solanum verbascifolium L. (unresolved) ; Solanaceae  ;0.027;Tree_shrub
sta.jam;stjcr; Stephania crebra Forman; Menispermaceae  ;0.007;Tree_shrub
ste.lan;srlla; Sterculia lanceolata Cav. ; Sterculiaceae;0.027;Tree_shrub
ste.neu;srunr; Stereospermum neuranthum Kurz ; Bignoniaceae ;0.047;Tree_shrub
str.asp;SBWAS; Streblus asper Lour.  ; Moraceae ;0.041;Tree_shrub
sym.rac;sysra; Symplocos racemosa Roxb.  ; Symplocaceae ;0.007;Tree_shrub
syz.;syzal; Syzygium albiflorum (Duthie ex Kurz) Bahadur & R.C.Gaur  ; Myrtaceae;0.007;Tree_shrub
the.lam;tssla; Thespesia lampas (Cav.) Dalzell; Malvaceae;0.007;Tree_shrub
thu.gra;THNGR; Thunbergia grandiflora ; Acanthaceae ;0.075;Tree_shrub
tou.sp.;TOUSS; Tournefortia sp.  ; Boraginaceae ;0.02;Tree_shrub
tre.ind;TREOR; Trema orientalis (L.) Blume i ; Cannabaceae ;0.034;Tree_shrub
tre.pal;tvepa; Trevesia palmata (Roxb. ex Lindl.) Vis.; Araliaceae  ;0.02;Tree_shrub
vit.qui;VIXQU; Vitex quinata (Lour.) F.N.Williams ; Lamiaceae;0.068;Tree_shrub
bal.sol;bwusol;Baliospermum solanifolium ;Euphorbiaceae;0.007;Tree_shrub
sho.sia;ptmsia;Pentacme siamensis;Dipterocarpaceae;0.007;Tree_shrub
