;plot_id;Biomass;plot;ABMMO;acacm;ACACO;adizo;UK1;AGECO;alblu;amlmi;ZNODU;atdve;atdso;apooc;adapo;bwusol;BIDPI;BLUSO;BOEER;srpqu;BRNPA;BUDAS;cajcr;llrat;cwsgr;celpa;CLLAS;UK3;EUPOD;cogqu;COMBE;ERISU;CRSCR;KXLFO;cklba;CYNDA;CYPLX;CYPIR;UK2;CZTPA;dagri;dagov;DEDGA;DEDVE;DIGMB;DIGTI;DMCLO;DIUAL;DIUNU;DOSMA;ELEIN;eblts;euocc;EPHHI;EPHHL;FIUHS;FIUHT;FLCJA;fleso;AIIGA;gadso;GUGPI;gigab;glfob;grwab;HPWAR;hrspe;HYOAU;IMPCY;laeto;ETNBI;lqzru;LEFCH;lidlt;lidsp;LISMO;lisse;MCRDE;mbeto;MLLBA;MANES;mkmst;RHYRE;MIKMI;mijpc;MIMIN;MTCVI;mtgro;MOLST;MOMCH;MUCPR;MUYKO;MUBSS;rxlin;OXACO;paepi;PANNT;PANBR;PANRE;PASCO;PESPO;ocoln;PHRKA;PYLAM;PHYMI;prdse;PSIGU;pufmc;PUEPH;SALSS;SCFDU;selhl;CASSM;sjngr;ptmsia;SIDAC;smiov;SOLVE;SOLAM;SPLPA;stjcr;srlla;srunr;SBWAS;sysra;syzal;tcxim;ckssu;tssla;THNGR;thsla;TOUSS;TREOR;tvepa;VENSS;VIXQU;UK4;season;s;Easting;Northing;crop_annual;crop_trees
21;M5-D16;47.054;M5;0;0;0;0;0;19.6;0;0;0;0;0;0.02;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;1.02;0;21.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.06;0;0;0;0.02;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0.2;0;0;D16;D;652190.48375;2212898.272;M;none
22;M5-D17;91.124;M5;0;0;0;0;0;200.4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;6.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;15.8;0;0;5.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.05;0;0;0;0;0;0;0;0;0;0;0;0;0.02;87;7.8;0;0;0;0;0;0;0;0.2;2.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;D17;D;652190.48375;2212898.272;M;none
23;M5-D18;96.284;M5;0;0;0;0;0;113.2;0;0;0;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;45;1;39;1.8;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D18;D;652190.48375;2212898.272;F;none
24;M5-R16;5.442;M5;0;0;0;0;0;322.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;48;0;0;46.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0.01;56;3;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;R16;R;652190.48375;2212898.272;M;none
25;M5-R17;454.742;M5;0.01;0;0;0;0;20;0;0;0;0;0;0.01;0;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0.07;2.14;132;0.2;0;0;5;0;0;0;0;0;0.16;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0.01;0;R17;R;652190.48375;2212898.272;F;none
26;ULR1-D16;125.048;ULR1;0;0;0;0;0;75.4;0;0;0;0;0;0;0;0;0.2;1;0;0;0;4;0;0;0;0;0;0;0.2;0;0;225.6;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;0;0;0;2.08;0;0;0;0;0;0;0;0;3;0;0;0;3.4;0;4;0;0;0;0;0;0;0;0;3;0;0;0;8.4;8;0;0;0.2;0;0;0;0;0.2;0.4;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;4.6;0;0;0;0;0;0;0;0;0;D16;D;652765.33575;2213733.25675;ULR;none
27;ULR1-D17;228.29;ULR1;0;0;0;0;0;108.6;0;0;0;0;0;0.01;0;0;27.6;1.8;0;0;0;0;0;0;0;0;0;0;0.2;0;0;1074.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2.02;0;0;0;0;0;0;0;0;0;0;0.4;0;2.48;0;17.2;0;0;0;0;3;0;0;0;0.03;0;3.6;0;0.2;1.4;0;0.2;0;0;0;0;0;0;12.8;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0.2;0;0;0.2;0;0;0;0;0;0;D17;D;652765.33575;2213733.25675;ULR;none
28;ULR1-D18;26.484;ULR1;0;0;0;0;0;84.2;0;0;0;0;0;1;0;0;1.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1.8;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;4;0;2.2;0;0;15.4;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2;0;0;1;0;0;0;0;0;0;D18;D;652765.33575;2213733.25675;F;none
29;ULR1-R17;605.892;ULR1;0;0;0.01;0;0;57.8;0;0;0;0;0;0.02;0;0;2.6;0;0;0;0;5.01;0;0;0;0;0;0;1.2;0;0;2.8;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0.02;9.2;0;9.2;0;0;0;0.02;0;0;0;0;1.04;0;0;22.2;0.2;8.4;0;0;0;0;0;0;0;0;0;0;468.2;0.01;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0.8;0;0;0.6;0;0;0;0;0;0;R17;R;652765.33575;2213733.25675;F;none
30;ULR2-D16;177.634;ULR2;0;0;0;0;0;45.4;0;0;0;0;0;0.01;0;0;0;1.2;0;0;0;0;0;0;0;0;0.8;0;0;0;0;510.4;28.2;0;0;12.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;6.6;0;0.01;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.6;0;0;0;0;0;0;0;5;0;0;0;0;9.4;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;D16;D;652044.865;2213049.016;ULR;none
31;ULR2-D17;142.54;ULR2;0;0;0;0;0;27.6;0;0;0;0;0;0.02;0;0;0.4;0;0;0;0;0;0;0;0;0;8.2;0;0;0;0;111.2;0.4;0;0.01;25.2;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0.03;1.4;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;3.07;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0.01;0.06;0;0;0;2.4;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.2;0;0;0;0.01;0;0;0;0;1;0;10.21;0;0;0.07;0;0;0;0;D17;D;652044.865;2213049.016;M;none
32;ULR2-D18;51.955;ULR2;0;0;0;0;0;142.2;0;0;0;0;0;0;0;0;83.4;0;0;0;0;0;0;0;0;0;2.8;0;0.2;0;0;674.6;6.8;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;24.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;16.4;0;0;0;0;0;0;0;0;0;0;0;0;7;1.2;0;0;0;0;0;0;0;3.4;0;0;0;0;0;11;0;0.2;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;8.6;0;14;0;0;0;0;0;0;0;D18;D;652044.865;2213049.016;M;yes
33;ULR2-R16;133.066;ULR2;0;0;0;0;0.4;843.4;0;0;0;0;0;0.01;0;0;0;1;0;0;0;0;0;0;0;0;2.8;0;0.2;0;0;77.4;0.4;0;0;89.8;0;0;2.4;0;0;0;0;0;0;0;0;0;0;0;17.6;0;0.01;1;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;2.11;0;4;0;0;0;1;0;0;0;0;0;0;0;1;0.4;0;0.2;0;0;0;0;0;0.6;0;0;0.6;0;0;0.4;0;0;0.2;0;0.02;0;0;0.2;0;0;178.6;0;0;0;0;0;0;0;0.2;0;0;0.01;0;0;0;0;1;0;7;0;0;3;0;0;0;0;R16;R;652044.865;2213049.016;M;none
34;ULR2-R17;167.98;ULR2;0;1;0;0;0;2110;0;0;0;0;0;0.02;0;0;0.2;0;0;0;0;0;0;0;0;0;1.8;0;0;0;0;25;0;0;0;0;0.2;0;0;0;0;0.06;0;0;15.2;0.8;0.02;0.2;0;0;21;0;0.02;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.2;1.01;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.6;0;0;0;0;0;0;0;1.2;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279.4;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;3.6;0;6.03;0;0;0;0;0;0.09;0;R17;R;652044.865;2213049.016;M;yes
